# meta={"format": "probe_hits_cells", "version": "1.0", "exported_at": "2026-01-12T23:48:34", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [-50.0, 10, -50.0], "u_vec": [1.0, 0.0, 0.0], "v_vec": [0.0, 0.0, 1.0], "du": 1.0, "dv": 1.0, "nu": 100, "nv": 100}, "summary": {"unique_hit_cells": 6426, "total_hits": 167976}, "context": {"charge_kg_tnt": 500, "n_rays_horizontal": 200000, "min_cos_to_normal": 0.08, "hemisphere": "+Y (horizontal plane focus)", "note": "only upward hemisphere rays; grazing filtered with dot(y)>=threshold", "house_centers": [[-20, -20], [-20, 0], [-20, 20], [20, -20], [20, 0], [20, 20]], "house_size": 10.0}, "aggregation": {"Pmax_inc_kPa": "max over incident_peak_pressure_kpa within cell", "t_first_ms": "min over arrive_time_ms within cell", "hits": "count of hits within cell"}}
# columns=i,j,hits,Pmax_inc_kPa,t_first_ms
i,j,hits,Pmax_inc_kPa,t_first_ms
40,44,131,358.2526589921153,11.126491559553697
55,40,104,358.0368109793484,11.131911117126796
44,40,101,357.35957831762187,11.148953884212471
53,39,102,354.4675562363046,11.222399057207713
60,53,138,354.2530862264838,11.227889147384595
60,46,131,353.4252852691416,11.249136398032237
53,60,101,353.2110752741698,11.254649308638145
39,53,134,352.9968904887314,11.260167658737766
46,39,103,352.78294676365954,11.265685886155431
46,60,104,352.65209482756364,11.26906393933162
39,46,132,352.43807540428634,11.27459395198322
58,42,101,346.3611496916787,11.43420786078832
57,41,96,346.23770778523414,11.437502959016877
57,58,97,346.1494165336443,11.439861075156259
41,57,102,344.5699912773166,11.48223078915626
42,58,100,344.44689740577263,11.485547766852056
42,41,99,344.35890054895964,11.48792031802894
41,42,103,344.23586357207336,11.491239464456246
58,57,102,342.4510934678121,11.539631030028897
60,54,129,341.0446995971303,11.57808820219651
39,54,129,340.21174444431233,11.601001445053186
45,39,97,340.00230438205017,11.606778883774707
60,45,132,339.7928975922895,11.612561888453547
54,60,97,339.58357529745535,11.618349050389124
45,60,95,339.47895860552995,11.621243837970885
39,45,127,339.2696103141421,11.627041474224248
54,39,98,339.0606014832862,11.632836213118784
59,56,114,338.77590806954794,11.640739770388443
43,40,101,338.7236467483326,11.642191944927246
43,59,97,338.5669835670083,11.64654755867913
59,43,118,338.5146673061609,11.648002894457717
40,43,118,337.007819273873,11.690097021041211
56,59,92,336.9557000474651,11.691559117004621
56,40,97,336.79941237370053,11.695945911837729
40,56,114,336.7473398067952,11.697408345746556
49,61,90,332.89551315533885,11.806739798234771
61,49,134,332.78638530989565,11.809870887782319
38,49,135,332.6887494606675,11.812673835628104
50,61,91,332.5796208512729,11.815808493981415
50,38,89,332.48197396733826,11.818614935214445
38,50,130,332.37284475667997,11.821753164211936
61,50,130,332.2753847481025,11.824557409295217
49,38,89,332.1662550044958,11.827699210080636
61,51,129,330.74482133147006,11.868794181350697
48,61,89,330.538617934217,11.874782453408312
51,61,88,330.1039497531403,11.887427806876756
38,51,131,329.898081058299,11.89342752652164
38,48,131,329.82387502984966,11.895591817729315
48,38,89,329.6923497188663,11.899430062610115
51,38,89,329.6180153693522,11.901600563333448
61,48,130,329.4866091510666,11.905439697678615
39,55,119,325.55922004024177,12.021483919391857
38,47,129,325.33813030637253,12.028092428476862
52,38,85,325.1340715560568,12.034199139048093
38,52,130,324.47705906854804,12.053908596139324
44,60,92,324.4601044980267,12.054418172373733
47,38,86,324.27335515105653,12.060034210236337
39,44,120,324.25636833462494,12.060545340445044
47,61,88,324.2223508750175,12.061569066355137
61,47,129,324.06964636249387,12.066166989234672
52,61,85,323.8660759060853,12.07230262754941
60,44,115,323.8321179467961,12.073326808780559
55,60,94,323.62866916586245,12.079466981421564
61,52,128,323.61168384222844,12.07997992412108
44,39,95,323.22185376531434,12.091765973469698
55,39,88,322.7363904876338,12.106479656553836
60,55,119,322.53337356882395,12.11264477376482
41,58,87,319.4455174363158,12.207295306796128
41,41,90,319.2436393527709,12.21354148850856
58,41,90,317.7376349589251,12.260366096601443
58,58,88,317.53644707179285,12.266652077322098
61,46,123,317.4023169622865,12.270846919363013
53,61,87,317.2011609725809,12.277144020188876
46,61,84,316.3696181492855,12.30325257236479
38,46,129,316.16900096784576,12.309570243894559
59,57,87,316.11873769628664,12.31115423902537
53,38,85,315.9683393781002,12.315896631493182
57,59,85,315.55051175229255,12.329093295691521
46,38,84,315.5005292670076,12.330674076532281
40,57,88,315.3501470316427,12.33543292533638
38,53,126,314.89958102518744,12.349715906904946
42,59,84,314.62158168834185,12.358547118817492
61,53,117,314.4715816077714,12.3633180892565
40,42,87,314.42157433848155,12.364909565791375
57,40,87,314.2215700148328,12.371279302693633
42,40,89,313.85524046502474,12.382965362833483
59,42,87,313.6553975299898,12.389350927305092
39,56,100,307.92838356423096,12.575555015813848
39,43,97,307.57174074389184,12.587359767600619
54,38,82,306.9581189122471,12.607729006132
60,43,97,306.257495489831,12.631077326351846
56,39,85,306.09884823470304,12.636377798354163
56,60,84,306.0605977863282,12.63765651229411
60,56,100,305.9020996429737,12.642958221141688
43,60,86,305.70540457586367,12.649544579959151
61,54,126,305.4868478035028,12.65687205873622
45,61,83,305.2903245720551,12.663469001463074
54,61,83,305.2029431976515,12.666404732142627
38,45,118,305.0938115766638,12.670073355773622
38,54,119,305.00659974298094,12.673006835151016
45,38,83,304.81013581578463,12.679620758389932
61,45,120,304.6138569701263,12.686236225865633
43,39,77,304.395874972253,12.693592310939403
62,50,127,296.79722008669614,12.956174735693867
49,62,79,296.604138818098,12.963006861994636
50,37,76,296.51288022673145,12.966238849675436
62,49,126,296.5021614080658,12.966618583481758
37,50,122,296.4109070003135,12.969852454010335
50,62,79,296.3091107156393,12.973462053830506
49,37,77,296.21798528848205,12.97669519722392
37,49,125,295.93399993563975,12.986782703401037
37,48,122,294.9811483563954,13.020758755033114
51,37,76,294.7886360272851,13.027647571915708
51,62,75,294.76725715661166,13.028413095589679
62,51,124,294.59630812054564,13.034538001797884
37,51,125,294.57494972768376,13.035303704666928
